,src,dst,weight
73289,Wind_Ensemble,Harpsichord,0.00684931506849315
73290,Sonata,Wind_Ensemble,0.0027842227378190253
73291,Wind_Ensemble,Sonata,0.0410958904109589
73292,Chicago_Blues,Pipe_&_Drum,0.0003912363067292645
73293,Pipe_&_Drum,Chicago_Blues,0.0025188916876574307
73294,Country_Blues,Pipe_&_Drum,0.0003154574132492114
73295,Pipe_&_Drum,Country_Blues,0.0025188916876574307
73296,East_Coast_Blues,Interview,0.004524886877828055
73297,Interview,East_Coast_Blues,0.00046274872744099955
73298,East_Coast_Blues,Pipe_&_Drum,0.004524886877828055
73299,Pipe_&_Drum,East_Coast_Blues,0.0025188916876574307
73300,Electric_Blues,Piedmont_Blues,0.0020394289598912306
73301,Piedmont_Blues,Electric_Blues,0.031088082901554404
73302,Field_Recording,Hill_Country_Blues,0.0003099333643266698
73303,Hill_Country_Blues,Field_Recording,0.03225806451612903
73304,Field_Recording,Memphis_Blues,0.0003099333643266698
73305,Memphis_Blues,Field_Recording,0.00796812749003984
73306,Gospel,Pipe_&_Drum,0.00010336451496201354
73307,Pipe_&_Drum,Gospel,0.005037783375314861
73308,Harmonica_Blues,Interview,0.0009737098344693282
73309,Interview,Harmonica_Blues,0.00046274872744099955
73310,Hill_Country_Blues,Interview,0.016129032258064516
73311,Interview,Hill_Country_Blues,0.00046274872744099955
73312,Hill_Country_Blues,Pipe_&_Drum,0.016129032258064516
73313,Pipe_&_Drum,Hill_Country_Blues,0.0025188916876574307
73314,Interview,Memphis_Blues,0.0009254974548819991
73315,Memphis_Blues,Interview,0.00796812749003984
73316,Interview,Piedmont_Blues,0.00046274872744099955
73317,Piedmont_Blues,Interview,0.0051813471502590676
73318,Interview,Pipe_&_Drum,0.00046274872744099955
73319,Pipe_&_Drum,Interview,0.0025188916876574307
73320,Memphis_Blues,Pipe_&_Drum,0.00398406374501992
73321,Pipe_&_Drum,Memphis_Blues,0.0025188916876574307
73322,Piedmont_Blues,Pipe_&_Drum,0.0051813471502590676
73323,Pipe_&_Drum,Piedmont_Blues,0.0025188916876574307
73324,Glam,Progressive_Metal,0.0011761246692149367
73325,Progressive_Metal,Glam,0.00144248106743599
73326,Boom_Bap,Europop,0.00018621973929236498
73327,Europop,Boom_Bap,4.554148829583751e-05
73328,Boom_Bap,Pop_Rock,0.00018621973929236498
73329,Pop_Rock,Boom_Bap,9.659875773997547e-06
73330,Bounce,Europop,0.004662004662004662
73331,Europop,Bounce,9.108297659167502e-05
73332,Bounce,Pop_Rock,0.002331002331002331
73333,Pop_Rock,Bounce,9.659875773997547e-06
73334,Crunk,Europop,0.0031645569620253164
73335,Europop,Crunk,9.108297659167502e-05
73336,Noisecore,Parody,0.0017196904557179708
73337,Parody,Noisecore,0.0003956478733926805
73338,Chiptune,Nerdcore_Techno,0.00244926522043387
73339,Nerdcore_Techno,Chiptune,0.07526881720430108
73340,Ambient,Pop_Punk,0.00018610777071522647
73341,Pop_Punk,Ambient,0.002145568575672553
73342,Breakcore,Metalcore,0.0036582179252678338
73343,Metalcore,Breakcore,0.0026500094643195156
73344,Merengue,Swingbeat,0.000211954217888936
73345,Swingbeat,Merengue,0.0019267822736030828
73346,Salsa,Swingbeat,0.00010403662089055348
73347,Swingbeat,Salsa,0.0019267822736030828
73348,Choral,Polka,0.0013095861707700367
73349,Polka,Choral,0.0015867978419549348
73350,Alt-Pop,Ethno-pop,0.00264783759929391
73351,Ethno-pop,Alt-Pop,0.004143646408839779
73352,Alt-Pop,Reggae-Pop,0.00088261253309797
73353,Reggae-Pop,Alt-Pop,0.00027344818156959256
73354,Dub,Ethno-pop,0.0001621796951021732
73355,Ethno-pop,Dub,0.004143646408839779
73356,Twist,Volksmusik,0.000964785335262904
73357,Volksmusik,Twist,0.0002653927813163482
73358,Arena_Rock,Cloud_Rap,0.00031104199066874026
73359,Cloud_Rap,Arena_Rock,0.0011806375442739079
73360,Disco,Dixieland,0.00029133815255194014
73361,Dixieland,Disco,0.002938475665748393
73362,Exotica,Score,0.011142061281337047
73363,Score,Exotica,0.00040567951318458417
73364,Calypso,Skiffle,0.0006383657835939994
73365,Skiffle,Calypso,0.005128205128205128
73366,Dub,Moombahton,0.00010811979673478214
73367,Moombahton,Dub,0.03571428571428571
73368,Bachata,Classic_Rock,0.0041841004184100415
73369,Classic_Rock,Bachata,0.00011002310485201893
