style,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Dark_Ambient,0.17934863,0.0033774998,0.19147944,0.4689036,0.070556276,0.037245,0.74396783,0.06412595,0.24214876,-0.15693857,0.31943238,-0.42108864,-0.08422255,0.027867833,-0.3786511,0.07162966,-0.4172215,-0.01612802,-0.26606056,0.03867524,0.3971819,-0.016899843,0.37891796,-0.11259078,0.008820996,0.24091808,-0.2946086,0.09577165,-0.3770205,-0.3296863,0.021883575,0.1539295
Country,0.30665237,-0.0880299,-0.030747242,-0.12758137,0.14946038,-0.27091956,-0.043932345,0.17897177,-0.117960095,0.14029542,-0.33268774,-0.731527,0.04449508,-0.12833038,0.16861358,0.30035028,-0.30146435,0.76673204,-0.43293473,0.32471535,0.15657423,0.09831849,0.28407136,0.14613846,0.1971374,-0.31735262,-0.48625287,0.32049105,0.10945261,-0.30698776,0.29031742,-0.13054806
Baroque,0.6594692,-0.17463347,-0.11531382,0.007970859,-0.2632921,-0.5127064,0.20343655,-0.36547965,-0.017412018,0.21360204,-0.046642832,-0.6357723,0.025147762,0.5641158,-0.07477074,0.7973525,-0.89510924,-0.2446141,-0.5201858,0.14574863,0.46129367,0.65020037,-0.2375356,0.21075432,0.5466678,0.4228432,0.46874198,-0.2549423,0.04136505,-0.43976632,0.29655814,-0.05746702
Schlager,-0.024513219,-0.06568717,0.08185504,0.09080422,0.3679315,-0.46737066,-0.18152924,-0.2597855,-0.35915217,0.14991239,0.06634366,-0.06304152,0.013174171,-0.01859691,-0.11622192,0.4470626,-0.1619907,0.403972,-0.08527651,0.38393214,0.31348228,0.32356462,0.62057954,0.4864961,0.11810614,0.21025218,0.030441208,0.33700117,0.024447128,-0.10922063,0.1957179,-0.17622514
Progressive_House,-0.55748725,-0.18263969,0.039463423,0.61047226,0.48726648,-0.3802787,0.56619865,0.0636215,-0.116506316,-0.31683657,0.21557462,-0.6957077,0.03486998,-0.38534743,0.011104404,0.13068718,-0.29818624,-0.15017907,-0.15997775,0.3680528,-0.015914513,0.32979214,0.3287257,-0.3623502,-0.12288608,-0.015358451,0.11822264,-0.030446457,0.16811396,0.19447139,-0.07040588,0.10321467
Acid,-0.48089373,-0.34407815,0.11019594,0.59157854,0.16466239,-0.32692024,0.56495744,0.07505777,0.18673499,-0.20937966,0.2065533,-0.68524796,-0.28214467,-0.1357065,-0.013557143,-0.23059899,-0.18821596,-0.33464187,-0.19057687,0.115894355,0.15240602,0.27498955,0.47612703,-0.100334845,0.005364032,0.17024416,-0.02582381,0.43171808,-0.15436631,0.20283145,0.22713621,-0.10996271
Black_Metal,0.39123994,0.46421242,0.71568674,0.7487633,-0.25361845,0.03543936,0.6307383,0.2291812,-0.044995196,0.24930218,0.0828701,-0.25285617,-0.27914205,-0.15042216,-0.16746618,0.43016317,0.009883282,-0.2375949,-0.58091813,0.3199402,0.19323333,0.28104162,0.6057359,-0.21412855,-0.23749468,0.11919387,-0.44415826,0.10948142,-0.20493484,-0.4117257,-0.10354883,0.39199206
Classic_Rock,-0.043048233,-0.11252494,0.38530573,0.041858666,0.22605139,-0.23801088,-0.2086252,0.055622093,0.04349823,-0.047878884,-0.24780263,-0.39028382,0.22828001,0.014885854,-0.109342135,0.49656624,0.10770821,0.2673716,0.033904716,0.39928025,0.21173136,0.34168777,0.24481462,-0.41481084,0.017453015,0.3307777,-0.20623495,0.2548324,0.017597878,-0.6290602,0.022869023,0.20620276
Drum_n_Bass,-0.10177176,-0.32319307,0.5550692,0.31694683,-0.0038821828,-0.13105254,0.52809554,0.00407419,0.005951171,-0.77002615,0.5045165,-0.49355432,-0.2058822,0.07841958,0.13832848,-0.01500844,-0.24803962,0.016498325,-0.25004643,0.07680892,-0.06679325,0.4882429,0.27378508,-0.040632855,0.014537785,0.12380046,-0.13864614,0.4058928,-0.010661111,0.12627667,-0.18960945,0.12897088
Avantgarde,0.20088139,-0.027976558,0.3760452,0.29720968,0.1329491,-0.0648598,0.27947095,-0.054051585,0.120266005,-0.31261492,-0.09729256,-0.33060077,-0.16151059,0.0834568,-0.32513773,-0.02261371,-0.019153759,-0.052765578,-0.35032403,0.21708225,0.48764077,0.25167537,0.37198853,-0.16337243,0.03789991,0.11117011,-0.26751962,-0.111276604,-0.29502797,-0.35991782,0.07114017,0.26188305
Leftfield,-0.13422267,-0.19518101,0.23413058,0.26916188,0.12760995,-0.033085488,0.6208359,-0.013334147,-0.028237462,-0.3817387,0.1402978,-0.41583255,-0.17044538,0.0013421918,-0.10984848,-0.06999982,-0.21022397,0.02197735,0.1162554,0.21685924,0.344262,0.24853244,0.32164934,-0.18303598,0.034760606,-0.031235753,-0.0859814,0.22339132,-0.22436918,-0.31090996,-0.04214955,-0.027337227
Post-Punk,0.4105404,-0.32909724,0.4870538,0.29958403,0.262508,-0.09874736,0.08252578,0.16210896,0.16658565,-0.21787229,0.15160514,-0.16167705,-0.13178962,-0.024819816,-0.3780918,0.05695984,-0.042783305,-0.21454693,-0.350283,0.18576917,0.30493286,0.2174907,0.62007153,-0.56501186,0.30195066,-0.2704545,0.027312329,0.31119043,-0.14771569,-0.29277948,0.017049775,-0.0030789624
Modern,0.3458104,-0.20317711,0.049770303,0.14900854,-0.42827994,-0.3087309,0.21063782,-0.057451595,0.06505649,0.079940856,-0.12245314,-0.54940486,-0.015397333,0.39662543,-0.36685142,0.7717777,-0.79119927,-0.11935402,-0.29670334,-0.06033515,0.7825456,0.4996869,-0.09092423,0.16442631,0.39285922,0.37528136,0.6221737,-0.4049515,0.052957054,-0.41530094,0.529709,0.0141450325
Breaks,-0.33032262,-0.15557097,0.23663619,0.3916717,0.16861011,-0.24982402,0.600771,0.03243276,-0.116111636,-0.57354975,0.22902076,-0.4426486,-0.22089338,-0.07344622,0.05693694,0.07559203,-0.30651876,-0.13145831,0.060216267,0.26801467,-0.021829989,0.38271663,0.41082624,-0.14465657,-0.030146433,-0.059271313,-0.09895387,0.2938202,0.022169225,0.03542202,-0.065493636,0.09477286
