style,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Garage_Rock,2.2439501,0.31891555,1.7796818,2.950175,-0.011371292,2.333051,-1.3360903,1.0417867,-2.0208101,-2.4160962,1.4708878,-0.2754418,2.2223256,1.2057178,0.27288705,-2.353888,1.2606418,0.08397052,0.23101276,1.6124259,0.4759974,0.47710443,1.6970001,1.2355149,-0.34735745,-2.8620908,1.4305145,0.4340026,-0.22218639,-1.1681507,0.679495,0.5334557
Rhythm_&_Blues,0.512552,0.15561321,-0.025147554,1.5756298,-1.591645,-0.3373375,-0.7639468,2.3341594,-1.176533,0.23518175,1.0700346,-3.0406442,-0.0253552,0.17335595,0.8099128,1.2104895,0.06515335,0.8949262,1.9545262,0.38163513,1.2139871,1.4029173,-0.8257635,2.8946238,-0.95547515,-0.35067722,0.9030316,2.4014552,1.2763877,-1.3718938,3.117582,-0.69634306
Easy_Listening,1.0866061,1.1568389,-2.1273818,-2.0031116,-2.105312,-2.030562,0.13901144,-0.79474735,-2.5108058,-1.7730534,2.7328115,-0.51368695,-2.9900334,-1.7360244,0.29523948,0.50390905,-1.0036018,3.9167538,0.5372122,0.4433946,0.8666655,0.87022805,0.8598461,0.7496375,-0.3625717,-0.115697,0.90324193,0.13243896,2.807898,-1.0303844,1.0894024,-0.6005875
Prog_Rock,0.44655862,1.8223737,0.036189985,1.5003036,0.65895635,0.57450175,-1.2228061,-0.19373809,-2.6024482,0.15414198,1.1801984,0.7533022,-0.089233436,0.41495275,-2.6995025,-0.3691115,2.5948339,1.9222668,1.1485667,0.1504646,-1.3180711,0.0033508213,1.1239206,2.1942594,1.2205266,-3.671024,0.050298333,-2.2308404,-1.4550816,0.16629732,0.19168214,-0.2526125
Euro_House,-0.36273885,-0.916889,1.5632842,0.8365978,-0.40604463,-0.58414716,2.9011657,1.4195637,2.1854582,2.7068584,-2.552183,-0.51218647,-1.9275211,2.8843443,0.8217021,0.20554227,-1.9968868,-1.346731,1.689002,-2.7186344,2.0154066,-0.46355888,-2.258507,-1.6437175,1.7963365,2.3666086,0.5091029,-2.7228065,-2.4101255,-0.41926962,2.6265223,-3.3583503
Drone,-2.3664584,1.3340688,-1.032117,0.086235054,0.7187541,0.06862154,-2.5700755,-1.7735131,-0.64579135,1.30049,1.5928884,1.592612,0.42253235,-2.0468695,1.0637577,-1.9214371,-1.0673028,-1.9601965,-2.8787818,-0.27922168,-5.067062,-0.830809,2.5385175,-0.80051506,-1.7579597,-2.6230812,-1.6626396,-0.18780997,-0.86737293,2.1601856,-2.165096,1.1651553
Country,1.6727235,0.90986377,-1.0560085,1.9372467,2.2948678,-0.33897233,-0.19119503,2.0270553,-1.2511888,0.878382,2.4688227,-1.647983,1.2899135,-0.080406934,0.034733087,0.20331879,-1.5215801,1.1462638,2.5233655,-0.077997066,1.006653,2.784196,0.6847343,0.81632155,-0.35943618,0.028561424,0.52384883,0.39470387,1.2535683,-0.04086196,0.95131487,0.19509691
Schlager,2.7924576,-0.40862256,-0.6999112,0.71337366,0.055445686,0.6068994,1.3766026,0.9451327,-0.9989101,-0.13739426,2.6501508,-1.1266301,-2.7971108,1.1572877,1.1064546,1.3350288,-0.741092,1.2136256,1.0836283,1.2016869,0.710436,0.9257008,0.7813329,0.3015626,0.87505126,2.5516818,0.7595657,-0.19869922,-0.22917518,-1.3356239,2.9356751,-0.7242723
Black_Metal,-1.5592474,-1.705305,0.8810608,0.8974424,1.9128691,-0.49828738,-1.7852874,-1.1587479,-0.32280743,0.28405598,-0.1495219,1.5675513,0.27600047,-1.9678618,-1.3659064,-1.9058654,1.9355035,-1.4599261,-1.6875726,2.1912427,0.76993483,0.29332685,3.3899558,0.7429607,-0.99877566,-1.488997,0.76083434,-2.6741066,-0.038514618,2.4411838,-3.7561398,1.7820979
Breakbeat,-3.0093987,1.6273539,-1.030341,-0.18917345,-0.43019283,1.0892683,-1.3629366,2.6379707,2.7166958,-0.21889195,-2.4286914,1.3568788,0.6304225,0.13503899,1.823713,0.47724384,-1.7689254,-1.3534418,-0.44220886,-1.5393747,0.87675154,-0.8950961,-3.6234288,-0.28168932,0.67698324,-0.43185818,0.18308851,-1.5593604,-0.46252614,1.5624719,-0.43273023,-1.0931706
Progressive_House,-2.3602698,-0.7530361,-0.3889912,-1.0689168,-0.5590368,0.06957811,-0.96016496,0.6894729,3.8364031,1.5189992,-2.059747,-2.3959813,-0.74493957,2.8691545,1.3912095,-0.9244835,-1.9318062,-1.0730255,0.34280756,-1.496979,1.6828722,-0.7776023,-0.17192228,-3.6652944,-0.92623067,0.82871306,0.2858743,-1.823373,0.5415773,-0.6840754,0.11554447,-2.050396
